numero habitantes,Zona_Entorno,Region,consumo kwh mensual,Aislamiento_Termico,Material_Vivienda,Uso_Calentador,Tiene_AC,Indice_Eficiencia_Energetica,Horas_Ocupacion_dia,Temp_Promedio_Celsius,area construccion metros cuadrados,gasto usd mensual
5,Residencial,Sierra,288.0,Bueno,Hormigon,No,Si,70,5,28.9,121.5,34.09
6,Residencial,Costa,184.3,Malo,Madera,Si,Si,45,20,24.3,60.2,21.43
3,Comercial,Costa,245.6,Bueno,Mixto,No,No,88,6,23.7,133.9,29.12
6,Comercial,Sierra,288.2,Malo,Hormigon,No,Si,44,15,19.5,56.7,40.63
4,Residencial,Costa,168.2,Malo,Mixto,Si,No,70,17,25.9,97.1,26.63
2,Residencial,Oriente,157.8,Regular,Mixto,No,No,76,5,25.7,127.4,23.75
2,Comercial,Oriente,162.9,Regular,Mixto,Si,Si,54,8,25.0,135.8,18.58
4,Residencial,Sierra,305.1,Bueno,Madera,Si,Si,54,13,29.1,93.5,34.1
6,Comercial,Costa,342.8,Malo,Mixto,No,No,91,13,30.5,130.9,49.59
3,Comercial,Costa,319.5,Malo,Hormigon,Si,No,82,12,29.3,128.2,40.48
2,Residencial,Oriente,105.3,Bueno,Mixto,Si,No,44,16,20.2,119.4,18.75
4,Residencial,Sierra,141.1,Bueno,Mixto,No,Si,67,13,27.3,113.0,19.88
3,Residencial,Costa,182.1,Bueno,Hormigon,No,No,72,9,19.2,58.2,27.15
4,Residencial,Sierra,252.5,Regular,Hormigon,Si,Si,50,14,28.4,128.2,30.67
4,Residencial,Costa,131.5,Bueno,Madera,No,Si,82,7,23.7,127.5,20.98
5,Comercial,Oriente,353.5,Bueno,Madera,No,No,45,17,20.0,99.8,42.31
2,Comercial,Oriente,234.7,Malo,Madera,No,Si,62,20,30.9,99.9,31.49
2,Residencial,Sierra,389.6,Bueno,Madera,No,Si,79,23,27.2,127.0,45.53
3,Residencial,Oriente,274.4,Malo,Hormigon,Si,No,41,5,23.3,111.0,30.46
6,Residencial,Costa,236.1,Malo,Mixto,Si,No,54,13,18.5,113.1,28.3
2,Comercial,Oriente,113.7,Regular,Mixto,No,Si,62,6,26.1,102.8,15.24
6,Residencial,Sierra,342.5,Bueno,Mixto,Si,No,61,10,31.8,96.9,43.49
5,Residencial,Sierra,293.7,Bueno,Madera,No,Si,48,10,26.9,59.6,31.44
4,Comercial,Sierra,203.3,Malo,Hormigon,No,No,86,4,32.6,82.6,22.59
6,Comercial,Costa,244.9,Regular,Hormigon,Si,No,79,11,20.0,67.8,32.99
4,Residencial,Costa,302.0,Regular,Hormigon,Si,No,69,4,26.5,88.8,41.26
4,Residencial,Costa,277.4,Bueno,Mixto,Si,No,55,11,30.0,105.8,30.55
6,Residencial,Costa,285.5,Malo,Madera,Si,Si,98,17,25.9,124.2,38.48
5,Comercial,Costa,268.9,Bueno,Hormigon,No,No,85,17,19.4,142.2,37.72
4,Residencial,Oriente,247.2,Bueno,Madera,No,Si,86,5,26.7,130.9,33.8
3,Residencial,Costa,257.9,Bueno,Hormigon,Si,Si,91,11,27.2,125.0,31.18
5,Residencial,Costa,174.7,Bueno,Madera,No,No,69,22,28.9,101.8,24.73
5,Comercial,Oriente,129.5,Malo,Hormigon,Si,No,84,13,29.4,85.3,16.7
4,Comercial,Costa,279.3,Regular,Madera,Si,No,48,10,29.6,60.3,31.28
4,Residencial,Sierra,322.4,Bueno,Hormigon,Si,No,40,16,28.0,132.6,36.35
4,Residencial,Costa,188.4,Bueno,Hormigon,No,No,98,18,21.2,85.3,27.23
1,Comercial,Costa,225.1,Bueno,Madera,No,Si,77,14,24.1,52.9,24.83
2,Comercial,Sierra,213.6,Bueno,Madera,Si,No,47,17,29.6,127.3,24.53
